100|101|2|16|1|3|687c779c|1|1665819991648
100|101|2|16|1|3|65cc7f1c|1|1665819991652
100|101|2|16|1|3|66d37777|1|1665819992652
100|101|2|16|1|3|60706e2b|1|1665819993648
100|101|2|16|1|3|5ff57353|1|1665819997531
100|101|2|16|1|3|66db7c35|1|1665819998461
100|101|2|16|1|3|62008d61|1|1665819999462
100|101|2|16|1|3|5faa817e|1|1665820000466
100|101|2|16|1|3|5fc684c6|1|1665820001466
100|101|2|16|1|3|64d67d2a|1|1665820002463
100|101|2|16|1|3|63197cbc|1|1665820003467
100|101|2|16|1|3|62b38b78|1|1665820004471
100|101|2|16|1|3|5f4277a1|1|1665820005467
100|101|2|256|1|3|006b|1|1665820912220
100|101|2|256|1|3|0097|1|1665820913056
100|101|2|256|1|3|00c2|1|1665820914052
100|101|2|256|1|3|00ba|1|1665820915056
100|101|2|256|1|3|0075|1|1665820916056
100|101|2|256|1|3|00a1|1|1665820917058
100|101|2|256|1|3|0089|1|1665820918058
100|101|2|1280|1|3|01c0|1|1665820918152
100|101|2|256|1|3|0088|1|1665820919055
100|101|2|1280|1|3|019a|1|1665820919062
100|101|2|256|1|3|006f|1|1665820920058
100|101|2|1280|1|3|0197|1|1665820920058
100|101|2|256|1|3|009e|1|1665820921062
100|101|2|1280|1|3|019b|1|1665820921062
100|101|2|256|1|3|008e|1|1665820922063
100|101|2|1280|1|3|0179|1|1665820922063
100|101|2|256|1|3|0093|1|1665820923067
100|101|2|1280|1|3|016e|1|1665820923071
100|101|2|1280|1|3|01bd|1|1665820924067
100|101|2|256|1|3|0093|1|1665820924067
100|101|2|1280|1|3|0177|1|1665820925067
100|101|2|256|1|3|00af|1|1665820925067
100|101|2|256|1|3|009c|1|1665820926061
100|101|2|1280|1|3|0181|1|1665820926065
100|101|2|1280|1|3|0178|1|1665820927065
100|101|2|256|1|3|00b6|1|1665820927065
100|101|2|256|1|3|0095|1|1665820928065
100|101|2|1280|1|3|016f|1|1665820928065
100|101|2|1280|1|3|0163|1|1665820929069
